,RyukyuOkinawa,RyukyuYaeyama,AinuHokkaido,AinuSakhalin,JapaneseAomori,JapaneseSaga,JapaneseShizuoka,JapaneseTokushima,KoreanGangwon,KoreanSJeolla,Altai,Buryat,Chukchi,InuitWGreenland,InuitEGreenland,Evenk,Even,Koryak,Nganasan,Selkup,Nivkh,Jukaghir,Saami,SakhaYakut,Nenec,Khanty,Mansi,Oroc,Nanai,OrokUjlta,Udege,Ulc,InuitIglulik,InuitNGreenland,InuitSGreenland
RyukyuOkinawa,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RyukyuYaeyama,0.00541,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AinuHokkaido,0.02964,0.03514,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AinuSakhalin,0.03357,0.031,0.00794,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JapaneseAomori,0.01998,0.00975,0.03556,0.03291,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JapaneseSaga,0.01635,0.00627,0.0381,0.03322,0.0014,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JapaneseShizuoka,0.01684,0.00984,0.03396,0.03191,0.00522,0.00148,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JapaneseTokushima,0.02265,0.00988,0.04188,0.03477,0.00225,0,0.00156,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
KoreanGangwon,0.02061,0.01616,0.02446,0.01768,0.01179,0.01134,0.00793,0.0106,0,,,,,,,,,,,,,,,,,,,,,,,,,,
KoreanSJeolla,0.0174,0.01471,0.01651,0.0085,0.01548,0.0188,0.02008,0.01981,0.00643,0,,,,,,,,,,,,,,,,,,,,,,,,,
Altai,0.01131,0.01156,0.0241,0.02,0.02191,0.02164,0.02399,0.02411,0.01474,0.00616,0,,,,,,,,,,,,,,,,,,,,,,,,
Buryat,0.02435,0.0158,0.0332,0.02238,0.02172,0.02335,0.02698,0.02209,0.01159,0.00692,0.00687,0,,,,,,,,,,,,,,,,,,,,,,,
Chukchi,0.04089,0.02748,0.02415,0.01167,0.02334,0.0261,0.0295,0.0255,0.01722,0.01187,0.01899,0.01671,0,,,,,,,,,,,,,,,,,,,,,,
InuitWGreenland,0.02417,0.01607,0.02581,0.00912,0.02257,0.02293,0.0231,0.0225,0.01035,0.00572,0.00828,0.00908,0.00606,0,,,,,,,,,,,,,,,,,,,,,
InuitEGreenland,0.02867,0.01905,0.03261,0.01257,0.03108,0.02581,0.02914,0.02608,0.01635,0.01341,0.01707,0.01512,0.01171,0.00079,0,,,,,,,,,,,,,,,,,,,,
Evenk,0.01866,0.01766,0.01715,0.01123,0.02407,0.02503,0.02581,0.02565,0.01112,0.00279,0.00367,0.0064,0.01471,0.00604,0.01363,0,,,,,,,,,,,,,,,,,,,
Even,0.03314,0.02751,0.01653,0.0055,0.02544,0.02972,0.03168,0.02961,0.0175,0.00719,0.01497,0.01612,0.00185,0.00379,0.00944,0.00826,0,,,,,,,,,,,,,,,,,,
Koryak,0.02862,0.02861,0.00915,0.00216,0.02522,0.02908,0.02956,0.03063,0.01808,0.01001,0.01673,0.0213,0.0082,0.00993,0.01434,0.01091,0.00347,0,,,,,,,,,,,,,,,,,
Nganasan,0.04553,0.02885,0.0359,0.01664,0.02943,0.02687,0.02904,0.02482,0.02033,0.0162,0.02664,0.01985,0.00486,0.00683,0.00783,0.02295,0.01204,0.01725,0,,,,,,,,,,,,,,,,
Selkup,0.02624,0.01875,0.02557,0.012,0.02158,0.02377,0.02847,0.02305,0.01075,0.00298,0.00643,0.00527,0.00882,0.00186,0.00695,0.0043,0.00766,0.01264,0.00808,0,,,,,,,,,,,,,,,
Nivkh,0.04972,0.02955,0.02664,0.01649,0.02759,0.02661,0.0311,0.02501,0.02463,0.01996,0.03268,0.02558,0.00421,0.01514,0.01432,0.02778,0.01096,0.01594,0.00527,0.01721,0,,,,,,,,,,,,,,
Jukaghir,0.03685,0.02245,0.02309,0.01297,0.01995,0.02251,0.02544,0.02196,0.0183,0.01054,0.01672,0.01658,0,0.00595,0.01399,0.01361,0.002,0.0086,0.00734,0.01035,0.00558,0,,,,,,,,,,,,,
Saami,0.02145,0.02152,0.0187,0.01565,0.02832,0.02929,0.03154,0.03317,0.02193,0.01102,0.01438,0.01492,0.02305,0.01164,0.01828,0.0085,0.01034,0.01274,0.02904,0.01662,0.03132,0.02043,0,,,,,,,,,,,,
SakhaYakut,0.04103,0.03057,0.02145,0.00833,0.02946,0.03219,0.03441,0.03142,0.01781,0.00856,0.01652,0.01741,0.0005,0.00525,0.01432,0.01277,0.00348,0.00717,0.0075,0.0097,0.00852,0.00174,0.02189,0,,,,,,,,,,,
Nenec,0.0324,0.01807,0.03179,0.01386,0.0202,0.01966,0.02294,0.01921,0.01602,0.00785,0.01782,0.0161,0.005,0.00396,0.00755,0.0141,0.00661,0.01393,0.00384,0.00811,0.0077,0.00329,0.02054,0.00482,0,,,,,,,,,,
Khanty,0.02066,0.01729,0.02673,0.01588,0.02164,0.02612,0.03054,0.02616,0.01211,0.00276,0.00195,0.00188,0.01801,0.0073,0.01561,0.00163,0.01263,0.01532,0.02288,0.00223,0.03048,0.01747,0.01109,0.01368,0.01402,0,,,,,,,,,
Mansi,0.01606,0.01154,0.02545,0.01362,0.01776,0.02065,0.02454,0.02224,0.011,0.0011,0.00334,0.00326,0.01506,0.00326,0.01298,0.00329,0.01162,0.01393,0.01781,0.00123,0.02499,0.01469,0.01007,0.01502,0.00871,0,0,,,,,,,,
Oroc,0.02115,0.02194,0.01466,0.00661,0.0285,0.0315,0.03432,0.03208,0.01291,0.00212,0,0.00426,0.01784,0.00237,0.01353,0,0.00892,0.00961,0.02603,0.00115,0.03252,0.0194,0.00586,0.01211,0.01507,0,0,0,,,,,,,
Nanai,0.01914,0.01657,0.01999,0.01061,0.02225,0.02494,0.02791,0.02524,0.01167,0.00186,0.00347,0.00391,0.01284,0.00143,0.01002,0.00073,0.00671,0.01145,0.01688,0.00131,0.02412,0.01282,0.00744,0.01077,0.00964,0.00015,0.00013,0,0,,,,,,
OrokUjlta,0.02261,0.01777,0.00846,0.00787,0.01696,0.01961,0.02387,0.02191,0.01513,0.00407,0.00928,0.01459,0.0092,0.01022,0.0181,0.00313,0.0042,0.0062,0.02137,0.00871,0.01468,0.0069,0.00798,0.00867,0.00855,0.00865,0.00725,0.00497,0.00516,0,,,,,
Udege,0.01363,0.01516,0.01392,0.00696,0.02264,0.0244,0.02722,0.02712,0.01085,0,0,0.00515,0.00932,0.00283,0.01027,0,0.00293,0.00707,0.01803,0.00269,0.02345,0.01007,0.00291,0.00754,0.00949,0,0.00152,0,0,0.00177,0,,,,
Ulc,0.01885,0.01804,0.00753,0.00443,0.01661,0.01949,0.02118,0.0193,0.00833,0.00103,0.00443,0.00904,0.00485,0.00648,0.01251,0,0,0.0008,0.01642,0.00388,0.01437,0.00374,0.005,0.00681,0.00672,0.0048,0.00221,0.00175,0.00106,0,0,0,,,
InuitIglulik,0.02768,0.02238,0.02277,0.01025,0.02891,0.0287,0.02916,0.02725,0.01842,0.0094,0.01177,0.0155,0.00935,0.00107,0.00658,0.00818,0.00589,0.01115,0.0086,0.00384,0.01828,0.00914,0.01317,0.01187,0.00725,0.01035,0.00673,0.00608,0.00608,0.00927,0.00551,0.00315,0,,
InuitNGreenland,0.02245,0.02012,0.02293,0.01084,0.02796,0.02703,0.029,0.02797,0.01516,0.00883,0.01174,0.01419,0.0117,0.00064,0.00276,0.00656,0.00555,0.00826,0.01313,0.00703,0.02163,0.01152,0.00867,0.01259,0.00983,0.00997,0.0075,0.00667,0.00418,0.01043,0.00331,0.00312,0.00324,0,
InuitSGreenland,0.02118,0.01368,0.03026,0.0153,0.02511,0.02454,0.02778,0.02391,0.01562,0.0077,0.00773,0.00971,0.01113,0,0.0049,0.00658,0.01008,0.01645,0.01111,0.00365,0.01953,0.01119,0.01656,0.01126,0.00683,0.00702,0.00396,0.00804,0.00336,0.01053,0.00389,0.00794,0.0027,0.00405,0
