Song No.,1.Meter,2.No of beats,3.Beat sub-division ,4. No. of sub-beats,5.Syncopation,6.Motivic redundancy ,7.Durational variability ,8.Tonality,9. Mode,10.No. of scale degrees ,11.Hemitonicity ,12.Maximum interval size ,13.Melodic range ,14.Melodic contour ,15.Melisma ,16.Vocables,17. Number of vocal parts ,18.Rhythmic texture ,19.Harmonic interval ,20.Relative contour ,21.Phrase repetition ,22.Phrase length,23.Phrase symmetry,24.Solo/group arrangement ,25.Responsorial relationship ,26. Phrase overlap,(Cantometrics#)5. Tonal blend,6. Rhythmic blend,23. Embellishment,24. Tempo,25. Volume,26. Rubato,28. Glissando,30. Tremolo,31. Glottal shake,32. Register,33.  Vocal width,34. Nasality,35. Rasp,36. Accent,37. Enunciation,CantoCore ID No.,Other comment,Population Name,Recording source,Album Name,Track No.,Song name,Cantogroup,MDS coordinate dimension 1,MDS coordinate dimension 2
1,a,,,,,0,1,ea,a,0.5,0,0.5,0.5,ac,0.5,1,0,,,,0,1,0.5,a,a,,,,0.5,0.6,0.25,,0.666666667,1,0,0.5,0.333333333,0.5,0.25,0.25,1,1528,NHK Ainu 1.3,Ainu (Hokkaido),NHK (1965),_______,3,sake-haw (___),green,0.152825675,0.101629171
2,a,,,,,0,0,ad,,0,0,0,0,ac,0,0.5,1,a,,b,0,0.5,0.5,dc,ac,1,0.75,0.2,0.75,,0.5,,0.333333333,0,1,0,0,0.25,0.5,1,0.75,1693,NHK Ainu 1.5,Ainu (Hokkaido),NHK (1965),_______,5,ray chisi kar (_______,green,0.021731474,0.200524017
3,d,a,c,a,1,1,0.5,e,e,0,0,0.5,0,e,0,0.5,1,b,,b,0.5,0,0,d,c,1,0.5,0.8,1,0.6,0.5,1,1,0,0,0.5,0,0.25,0.25,0.25,0.5,1406,NHK Ainu 2.4,Ainu (Hokkaido),NHK (1965),_______,11,chup kawa _____,red,-0.233447922,-0.059466997
4,d,a,c,a,1,1,0,ea,a,0,0,0.5,0,af,0,1,1,b,,b,1,0,0,d,c,1,0.5,0.8,0.75,0.4,0.5,1,0.666666667,0.5,0,0.5,0,0.25,0.25,0.25,0.75,1542,NHK Ainu 2.7,Ainu (Hokkaido),NHK (1965),_______,14,hura e tuki _____,red,-0.270700371,0.013427814
5,d,a,c,a,1,1,0,e,d,0.5,0,0.5,0.5,f,0,1,0.5,,,,0.5,0,0,d,c,1,,,1,0.6,0.25,1,1,0.5,0.5,0.75,0.333333333,0.25,0.25,0.5,0.75,1401,NHK Ainu 3.1,Ainu (Hokkaido),NHK (1965),_______,17,teta hae kute ran na _____,red,-0.20300223,-0.055036187
6,d,a,c,a,0.5,1,0.5,e,d,0.5,0,0.5,0.5,fe,0,1,0.5,b,,b,1,0,0,da,c,1,0.5,0.8,1,0.6,0.5,1,0.666666667,0.5,0,0.75,0,0.25,0.25,0.5,0.75,1563,NHK Ainu 3.2,Ainu (Hokkaido),NHK (1965),_______,18,ynk topa ran na _____,red,-0.187075071,-0.051956594
7,d,a,c,a,0.5,1,0,ae,a,0,0,0.5,0,f,0,1,0.5,b,,b,1,0,0,d,c,1,0.5,0.8,1,0.6,0.75,1,0.666666667,1,0,0.75,0,0.25,0,0,0.5,1347,NHK Ainu 3.4,Ainu (Hokkaido),NHK (1965),_______,20,he i ho _____,red,-0.287062042,-0.019707486
8,d,a,c,b,0,1,0,e,a,0,0,0.5,0,e,0,0,0,,,,1,0,0,d,a,,0.5,0.8,1,0.6,0.5,1,1,1,0,0.5,0,0.25,0.25,0.25,0.5,1458,NHK Ainu 3.5,Ainu (Hokkaido),NHK (1965),_______,21,hure benna huy _____,red,-0.192688514,-0.008305279
9,d,a,c,a,0.5,1,0.5,e,d,0.5,0,1,0.5,f,0,0.5,0,,,,1,0.5,1,c,c,0.5,0.75,0.8,0.75,0.6,0.5,1,1,0.5,0,0.5,0.333333333,0.75,0.25,0.5,0.5,1331,NHK Ainu 3.6,Ainu (Hokkaido),NHK (1965),_______,22,utar o pun pare ______,blue,-0.122093364,-0.127689874
10,d,a,c,a,1,1,0,ed,d,0,0,0,0,a,0,1,1,b,,ca,1,0.5,0,d,c,1,0.75,1,0.75,0.4,0.75,1,1,1,0,0.5,0.333333333,0.25,0.25,0.5,0.75,1414,NHK Ainu 3.8,Ainu (Hokkaido),NHK (1965),_______,24,pewrep rekaw ______,red,-0.266165207,0.024576794
11,d,a,c,a,0.5,1,0,eac,a,0,0,0,0,a,0,1,0.5,b,,,1,0,0,d,,,0.5,0.8,1,0.6,0.5,1,0.666666667,1,0.5,0.5,0.333333333,0.5,0.5,0.75,1,1395,NHK Ainu 4.3,Ainu (Hokkaido),NHK (1965),_______,27,chak pi yak _______,red,-0.292539097,0.023646697
12,d,a,c,a,0,1,0,ea,a,0,0,0,0,a,0,0.5,0.5,b,,a,1,0,0,db,a,,0.5,0.6,0.75,0.6,0.5,1,0.666666667,0.5,0.5,0.75,0,0.25,0.25,0.5,0.75,1567,NHK Ainu 4.4,Ainu (Hokkaido),NHK (1965),_______,28,hunpe yan na _______,red,-0.224541261,0.057000442
13,d,a,c,a,0,1,0,e,a,0,0,0.5,0,df,0,0.5,0.5,b,,b,1,0.5,0,d,c,1,0.5,0.8,1,0.6,0.5,1,1,1,0.5,0.75,0.333333333,0.5,0.25,0.5,0.75,1343,NHK Ainu 4.5,Ainu (Hokkaido),NHK (1965),_______,29,sun kay no _______,red,-0.232825808,-0.029495395
14,d,a,c,a,0,1,0,ae,e,0,0,0.5,0,ac,0,1,0.5,b,,a,1,0,0,cd,ca,1,0.5,0.8,1,0.4,0.75,1,0.666666667,1,0.5,0.75,0,0.25,0,0,0.75,1517,NHK Ainu 4.6,Ainu (Hokkaido),NHK (1965),_______,30,hesi ko tor ________,red,-0.297225758,0.02427541
15,d,b,c,a,1,1,0,e,a,0,0,0,0,a,0,0.5,0.5,b,,ca,0.5,0,0,d,c,1,0.75,1,0.5,0.4,0.5,1,0.666666667,1,0,0.75,0,0.25,0.25,0.25,0.25,1427,NHK Ainu 4.8,Ainu (Hokkaido),NHK (1965),_______,32,atat sike iwan sike _______,red,-0.196738788,0.018209839
16,d,a,c,a,0,1,0,be,d,0,0,0,0,ac,0,0.5,0,,,,0.5,0,0,a,a,,,,1,0.6,0.5,1,0.666666667,1,1,0.25,0,0.5,0.5,0.5,0.5,1702,NHK Ainu 5.4,Ainu (Hokkaido),NHK (1965),_______,36,kakkok kakkok ______,red,-0.164099702,0.069326943
17,d,a,c,b,0,1,0.5,e,d,0.5,0,1,1,f,0.5,1,0,,,,0.5,0.5,0.5,d,a,,0.75,0.8,0.5,0.6,0.5,1,1,0.5,0,0.5,0.666666667,0.5,0.25,0.5,0.75,1481,NHK Ainu 5.7,Ainu (Hokkaido),NHK (1965),_______,39,sucho choy choy na ________,blue,-0.054280253,-0.091472418
18,d,a,c,b,0,1,0,ed,e,0,0,0.5,0.5,fa,0,1,1,b,,b,1,0.5,0,da,c,1,0.5,,0.75,0.6,0.5,1,1,0.5,0,0.5,0,0.25,0.25,0.25,0.75,1727,NHK Ainu 5.8,Ainu (Hokkaido),NHK (1965),_______,40,imo mosiri kayta ______,red,-0.242710119,-0.021871925
19,d,a,c,a,1,1,0.5,e,a,0.5,0,0.5,0.5,fb,0,0,0,,,,1,0,0,c,c,0.5,0.5,0.8,1,0.6,0.5,1,1,0.5,1,0.5,0,0.25,0.25,0.5,0.5,1682,NHK Ainu 5.9,Ainu (Hokkaido),NHK (1965),_______,41,ama sake soro ba _______,red,-0.17093834,-0.126967605
20,d,a,c,a,1,1,0,ea,d,0,0,0.5,0,a,0,0.5,0,,,,1,0,0,a,c,0.5,,,1,0.4,0.5,1,0.666666667,0.5,0,0.75,0.333333333,0.5,0.25,0.5,0.75,1338,NHK Ainu 6.1,Ainu (Hokkaido),NHK (1965),_______,42,ichariko tere kere ______,red,-0.196283288,0.101534264
21,d,a,c,b,0.5,1,0,ea,a,0,0,0.5,0.5,fa,0,0.5,0,,,,1,0.5,0,a,c,0,,,0.75,0.6,0.5,1,0.666666667,0.5,0,0.75,0,0.5,0.25,0.25,0.75,1560,NHK Ainu 6.2,Ainu (Hokkaido),NHK (1965),_______,43,tonoto menoko ______,yellow,-0.144255172,0.022670856
22,d,a,c,b,0.5,1,0,e,a,0.5,0,0.5,0.5,f,0,1,0.5,b,,b,1,0.5,0,d,c,1,0.75,0.8,1,0.4,0.25,1,1,0.5,0,0.5,0.666666667,0.75,0.25,0.5,1,1326,NHK Ainu 6.3,Ainu (Hokkaido),NHK (1965),_______,44,chperikep par yan _______,red,-0.217926206,-0.064873877
